t,acc[0],acc[1],acc[2],speed[0],speed[1],speed[2],pos[0],pos[1],pos[2],omegadot[0],omegadot[1],omegadot[2],omega[0],omega[1],omega[2],q[0],q[1],q[2],q[3],forces[0],forces[1],forces[2],torque[0],torque[1],torque[2]
2.065171480178833,0.0,0.0,-9.81,1.0,0.0,-20.25933222055435,2.065171480178833,0.0,-22.623396363748956,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-9.81,0.0,0.0,0.0
2.1151461601257324,0.0,0.0,-9.81,1.0,0.0,-20.749583830833433,2.1151461601257324,0.0,-23.660350174726215,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-9.81,0.0,0.0,0.0
2.165213108062744,0.0,0.0,-9.81,1.0,0.0,-21.24074059009552,2.165213108062744,0.0,-24.7238092279941,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-9.81,0.0,0.0,0.0
2.2151694297790527,0.0,0.0,-9.81,1.0,0.0,-21.730812106132507,2.2151694297790527,0.0,-25.80940066872471,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-9.81,0.0,0.0,0.0
2.2487952709198,0.0,0.0,-9.81,1.0,0.0,-22.060681607723236,2.2487952709198,0.0,-26.55120964392261,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-9.81,0.0,0.0,0.0
2.298489570617676,0.0,0.0,-9.81,1.0,0.0,-22.5481826877594,2.298489570617676,0.0,-27.671725792050587,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-9.81,0.0,0.0,0.0
2.3484442234039307,0.0,0.0,-9.81,1.0,0.0,-23.03823783159256,2.3484442234039307,0.0,-28.822592963734955,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-9.81,0.0,0.0,0.0
2.41508150100708,0.0,0.0,-9.81,1.0,0.0,-23.691949524879455,2.41508150100708,0.0,-30.40135998118415,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-9.81,0.0,0.0,0.0
2.4489235877990723,0.0,0.0,-9.81,1.0,0.0,-24.023940396308898,2.4489235877990723,0.0,-31.214380257161682,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-9.81,0.0,0.0,0.0
2.498297691345215,0.0,0.0,-9.81,1.0,0.0,-24.50830035209656,2.498297691345215,0.0,-32.42445561648606,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-9.81,0.0,0.0,0.0
2.547719717025757,0.0,0.0,-9.81,1.0,0.0,-24.993130424022674,2.547719717025757,0.0,-33.65966675013924,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-9.81,0.0,0.0,0.0
2.5978305339813232,0.0,0.0,-9.81,1.0,0.0,-25.48471753835678,2.5978305339813232,0.0,-34.936726765868144,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-9.81,0.0,0.0,0.0
